sampleID,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Final_Label
TCGA-B6-A0I1-01,-0.41515994,-3.1281066,3.5553873,-0.9230833,0.41668293,-2.2590299,-1.1310449,0.85421574,0.33733144,0.20294562,1.5730561,-1.7977743,-2.5936627,-0.22627202,1.5951443,6.0580235,0.3283729,-2.329466,-1.7044592,3.4431498,Basal
TCGA-GM-A2DI-01,-1.0052522,0.10141428,-2.7952266,0.23367041,0.42139226,-0.27405977,1.0187943,0.59602237,-0.008164071,-1.3436278,-1.1088609,0.2889578,1.6781797,1.0452601,-0.30497193,-0.9317493,0.76022816,3.122139,-1.4037656,-0.82162035,LumA
TCGA-EW-A1PE-01,-0.12672572,-0.24852732,-0.47443694,-0.4940631,1.5152106,0.8990983,1.3228047,0.3676823,-0.09081831,-1.326074,0.351922,-0.801306,0.66224426,0.6160518,-0.9702464,-3.13259,0.3317941,3.679594,-0.11692498,-1.464051,LumA
TCGA-BH-A1F2-01,-0.53737193,0.90878284,-0.07946975,-0.37627077,-0.3632074,1.2924175,1.6163437,-0.7501594,0.20613244,-1.8106788,-1.8849124,0.85034114,1.4401615,-1.2381562,-2.2836492,-0.2488404,0.29974568,-0.3822767,1.83011,-1.9022871,LumB
TCGA-BH-A0BD-01,-0.020025022,-0.21733621,-1.2144095,0.27779898,0.6205059,-0.057692517,0.28744254,0.015089563,-0.24374256,-0.05184763,0.08390918,-0.14831756,0.6105306,0.80911314,0.084108844,-1.2170871,-0.15723878,1.8678209,-0.7256036,-0.6407681,LumB
TCGA-A7-A0DA-01,-0.96744174,-1.894855,0.60279644,-0.59978545,-1.2929624,-1.366573,-2.9372878,-0.7619647,0.013350435,0.035555895,0.74811345,0.6026866,1.311815,-0.38700712,-0.7679646,3.9258935,0.47083375,-0.67252815,-0.3825896,-2.0812151,Basal
TCGA-A2-A25C-01,-0.16688056,0.37155834,-0.70262694,-0.124020934,1.5695196,0.15122852,-0.39030024,-0.56693137,-1.1418861,-0.86734164,0.75326747,-0.18708125,-0.033537503,0.5409597,0.27225137,-1.6051401,0.60087866,2.5772529,-0.67161196,-1.2888228,LumB
TCGA-E2-A14V-01,0.3727222,0.85424775,0.9526849,-0.55579066,0.54400206,-0.06221486,-1.3331885,-0.94137245,-1.0089108,-0.27086246,0.5421479,-0.062438898,-1.8339592,-0.007971724,0.6746968,0.2781418,0.8977701,1.2250842,-0.38943282,0.41627944,Her2
TCGA-B6-A0WX-01,-2.917747,-0.7357304,-0.8687179,0.91870975,-0.29265562,0.18429218,-1.1601751,0.41813222,0.9848727,-0.3787798,-1.0997913,1.8229387,0.543314,-0.4303455,0.4951497,3.5516753,1.5908375,0.73370683,-0.4590672,-0.7014847,Basal
TCGA-BH-A0DV-01,-3.064643,0.39145198,-0.83621955,2.3644385,0.28281146,0.7677917,0.6070871,-0.49777374,1.6021347,-0.74624294,-2.7213297,2.4856813,1.0841106,-1.253987,-1.8607512,0.9590344,1.6378989,0.42839646,1.1739657,-2.29353,LumA
TCGA-A8-A09V-01,-0.841027,0.47857004,0.9651989,3.2960465,1.9175557,-1.0204248,-0.34994957,-1.2961117,0.7971855,-0.49973068,0.011154059,1.5017902,-0.49492696,-1.125489,-0.17028663,-2.491867,-0.3162332,1.3082597,1.3388641,-1.9074957,LumA
TCGA-BH-A0HP-01,-1.417083,0.7138805,0.32518402,1.6331415,0.734699,0.5807857,0.0015210062,0.19194297,0.47217667,-1.0810851,0.26256126,0.3551676,-0.7018884,0.25532538,0.42193022,0.1446482,1.8238289,1.5666777,-0.41305134,-0.41207573,LumA
TCGA-B6-A0I8-01,0.8896171,1.9004831,0.20303193,-0.21577731,1.0200576,-0.009229843,-1.0709333,-0.7003045,-1.10738,-0.46137974,0.74300295,0.6684871,-1.0917246,-0.06657411,0.36214238,-1.119016,0.9697996,1.0761654,0.31533787,1.2395871,LumA
TCGA-E9-A1N8-01,0.85311353,-1.09749,0.32989594,-0.1153999,-0.515606,-0.52921414,-1.7290128,-0.5921011,0.34605563,2.1562388,2.4947166,-1.8575029,1.0689461,2.349817,2.4075644,2.962407,-1.0374091,-1.6865045,-1.7691399,-2.6498575,Basal
TCGA-AR-A24Q-01,-1.5303159,-0.86250913,-1.6691955,-0.03467118,-0.72702104,0.047325213,-1.4042453,0.62911266,0.1679719,1.9400153,0.2123375,1.1473105,3.0121496,0.6512717,0.47132558,2.677195,-0.8241016,-1.1929847,-0.6697606,-1.964108,Basal
TCGA-AR-A0U0-01,-0.2610516,-0.2509054,-1.0367178,-5.0807886,-2.7422595,-1.1501135,1.2386167,2.2607737,0.0712169,-0.64900464,-0.6405219,-2.0785737,-0.06837109,-1.1113591,0.8932789,1.5813591,-0.14864793,0.15188529,-1.6933913,0.1376178,Basal
TCGA-B6-A0RG-01,0.8206118,3.1789265,-0.30368552,0.5802802,1.0865588,-0.43592072,-3.616072,-1.9986358,-2.2717543,0.2723345,1.0281216,2.2890475,-2.6473057,-0.03871131,1.1667674,0.5838883,2.512056,1.3063812,-0.19493419,1.9609706,LumA
TCGA-A7-A0CE-01,-0.79060256,-0.94460857,-0.6621057,-0.57091105,0.043090183,-0.73857665,-1.1015795,0.117638655,0.023248222,0.1480857,0.51475674,-0.6141941,0.73103976,0.745323,1.2659267,1.7521601,0.08379654,0.29557958,-1.1494478,-0.6537763,Basal
TCGA-AC-A2FO-01,-1.4543074,0.30055544,-3.0309296,3.051045,0.7037131,-1.3784277,1.3009002,0.16761884,0.7240094,-1.1974096,-2.3777595,1.4430577,1.9354365,0.76856995,0.40080887,0.48701033,0.25763607,1.4089423,-0.9515096,-0.58013713,LumA
TCGA-C8-A12Y-01,-0.64718395,1.2205085,0.8877387,0.32797185,1.0046465,1.4637713,-0.29412326,1.2178944,0.26627487,-0.668142,-0.9448192,2.980709,-1.794183,-1.4037633,-0.18269739,1.0835704,2.081415,0.6343719,0.43552992,2.58545,LumA
TCGA-B6-A0X4-01,3.364611,-0.1785274,3.852085,7.108878,3.155606,1.5501167,-0.54908603,-2.877098,-2.4323385,2.5455842,4.4391985,-3.8382158,-3.6619766,3.1474094,2.1682873,-2.21748,-0.797643,-2.6593273,0.3850617,0.6404615,LumA
TCGA-AC-A2BM-01,2.3571908,-0.025655434,-3.4435694,1.4754677,1.3700442,-0.75142205,1.0620013,0.30602393,0.06680086,1.425501,-0.72740674,0.6077167,0.90640306,1.5757911,-0.21839288,-3.5739572,-1.6323721,0.5062345,0.53173286,0.98832816,LumB
TCGA-E2-A15G-01,0.10961312,0.7306948,2.1563182,2.5066671,1.4465559,-0.047485255,0.4284147,-0.07558199,0.38402018,-0.5364944,0.66066563,0.11756919,-1.2078766,-0.25376433,-0.20018578,-2.9285727,-0.23949325,1.4836888,0.64983773,0.36606938,LumA
TCGA-D8-A146-01,-1.5588018,-0.14964135,-0.46010435,1.2590744,0.8793478,-0.21480474,0.2897699,-0.60986966,0.49827224,-0.7246218,-0.54604167,0.5719317,0.9155594,-0.378514,-0.24252048,-0.8825379,0.6035456,1.7324582,0.225309,-2.267971,LumA
TCGA-C8-A12U-01,2.766844,0.47094306,-3.239844,-4.0980854,1.7492634,-1.604409,-1.3671455,0.0042928904,-1.5221859,0.68520844,-1.0883774,-1.5120331,-1.9887463,0.02912688,2.2410998,-0.25602195,-0.98179406,-1.8300174,-0.75340426,3.8422666,LumB
TCGA-B6-A0WT-01,0.08737681,0.5809468,-0.034220003,0.54529774,1.3407872,-0.6771717,-1.6308028,-1.1924621,-1.0853778,0.49112603,0.9515238,0.85466814,-1.0570644,0.30241168,0.79876286,-1.8579997,-0.2821948,1.7888058,-0.06501181,-1.479645,LumA
TCGA-C8-A27A-01,2.882077,-0.47575086,-4.2678714,-0.301925,2.6310532,-2.281327,-2.4322565,-1.0031835,-3.247506,4.2495236,0.3964187,0.21684998,-1.0756456,3.3548076,2.2569482,-1.8998371,-2.6556349,-1.2782694,-0.98914987,-0.48825386,LumB
TCGA-A8-A081-01,1.3831877,0.6136818,-2.5794125,-2.517269,2.1722193,-0.98974466,0.90696895,0.6963909,-1.4751929,-2.106133,0.31954515,-1.2898836,-0.5809044,0.97061425,1.1959124,-1.7939371,-0.13013393,2.455008,-1.9699788,1.6153952,LumB
TCGA-AO-A03O-01,1.6679498,0.32608193,-1.3063432,-2.4481893,0.19339977,0.16842458,1.42807,1.5252057,0.21526408,-0.45739034,0.026889175,-1.0093299,-0.5236979,-0.023401566,-0.32184345,-1.6546514,0.20107311,0.5853783,-0.42948687,1.424392,LumB
TCGA-D8-A1XW-01,-2.5979764,-0.60703206,0.23507601,-0.8134009,-1.9567627,-0.20763974,-0.05451698,0.6684843,1.2348759,-1.7908053,0.09299148,-0.043655388,2.7333417,-0.21378823,-0.7956374,3.045485,-0.1185811,0.05367412,-0.4730182,-2.8065538,Normal
TCGA-E2-A15L-01,-0.38341412,0.22274539,2.2930572,0.42554098,0.4538545,0.58988935,-0.5339702,-0.77369595,-0.35484812,-0.6542073,0.52341384,0.2592639,-1.0815595,-0.56640995,-0.6146217,-1.7483777,0.20234078,1.5219839,0.9578756,-0.932686,LumA
