Representation,Resample,n_subsample,ARI,NMI
VAE_Z10,5,7432,0.012901493640968945,0.04029009482929658
VAE_Z10,6,7432,0.011585450415624813,0.036679596265625045
VAE_Z10,7,7432,0.01214763125865464,0.037256105677830255
VAE_Z10,8,7432,0.013940927060216246,0.04213674505508397
VAE_Z10,9,7432,0.01437172195769657,0.0423658892905844
VAE_Z10,10,7432,0.00792549130609482,0.027553877779038376
VAE_Z10,11,7432,0.014887984094976648,0.044086610611170696
VAE_Z10,12,7432,0.005432986347108253,0.02784083928005264
VAE_Z10,13,7432,0.006818881229982234,0.024607797790432585
VAE_Z10,14,7432,0.01154867831602159,0.03264243356346645
VAE_Z10,15,7432,0.012981578877264548,0.03764461169220992
VAE_Z10,16,7432,0.011829515830636942,0.03682670961258635
VAE_Z10,17,7432,0.008222948807404335,0.031185392730689033
VAE_Z10,18,7432,0.002754311989736471,0.014448251673235386
VAE_Z10,19,7432,0.004141498531034925,0.03056361920580377
VAE_Z10,20,7432,0.012267981415763069,0.03725244331186935
VAE_Z10,21,7432,0.015062081301054624,0.04639200402608209
VAE_Z10,22,7432,0.012079661927882141,0.03796417239256595
VAE_Z10,23,7432,0.003477707075852825,0.031158225494596292
VAE_Z10,24,7432,0.009608703843964563,0.030783370149109042
VAE_Z10,25,7432,0.010493174348714737,0.034369180417535374
VAE_Z10,26,7432,0.006282871451005101,0.030843880026069522
VAE_Z10,27,7432,0.01587185579348387,0.047442202586966666
VAE_Z10,28,7432,0.009225272190955994,0.03017338276760345
VAE_Z10,29,7432,0.011605415426281837,0.038994704651066144
VAE_Z10,30,7432,0.013163318621897027,0.04246897287213065
VAE_Z10,31,7432,0.009271870468635219,0.029204133381872745
VAE_Z10,32,7432,0.009533724820255222,0.030234174555938326
VAE_Z10,33,7432,0.01159965212405058,0.03554061342635916
VAE_Z10,34,7432,0.014582678154280354,0.0429916988304599
VAE_Z10,35,7432,0.009106099386134214,0.030267904907375676
VAE_Z10,36,7432,0.010668998586943966,0.03383268720931446
VAE_Z10,37,7432,0.011927920803021762,0.036126519171759595
VAE_Z10,38,7432,0.010258901230838495,0.030720199579640048
VAE_Z10,39,7432,0.01429782047780735,0.04185763314879141
VAE_Z10,40,7432,0.012724117611971472,0.03848172762283646
VAE_Z10,41,7432,0.0016493126499644818,0.04069601885608399
VAE_Z10,42,7432,0.009255543641387226,0.0309822313658707
VAE_Z10,43,7432,0.004940852317253894,0.022782226029031127
VAE_Z10,44,7432,0.01019133036620568,0.036885329911625124
VAE_Z10,45,7432,0.009243128960773853,0.029872728168629046
VAE_Z10,46,7432,0.008433105786356076,0.024400509039681585
VAE_Z10,47,7432,0.011899053392967504,0.03592430542792997
