"Ensembl_ID","Gene_Symbol","ENTREZID","logFC","t","adj.P.Val"
"ENSG00000138615","CILP","8483",0.690280973413508,17.3608971837849,5.50443756751235e-56
"ENSG00000135914","HTR2B","3357",0.575183824372554,17.1537089167369,7.64377285720114e-55
"ENSG00000269113","TRABD2B","388630",0.578439106355332,17.1491573474577,7.96524870036908e-55
"ENSG00000163431","LMOD1","25802",0.407229010414496,17.1277344052686,1.02930500910464e-54
"ENSG00000163359","COL6A3","1293",0.426674161720496,17.0939022524739,1.53654382233466e-54
"ENSG00000169946","ZFPM2","23414",0.505391417980893,17.0937253809355,1.53654382233466e-54
"ENSG00000168329","CX3CR1","1524",0.725921194477895,17.0847326317213,1.69586090969767e-54
"ENSG00000155886","SLC24A2","25769",0.594191594651343,17.0582715410385,2.33765939003247e-54
"ENSG00000255248","RP11-166D19.1","399959",0.397480842010625,17.0301760436121,3.28989429642853e-54
"ENSG00000131386","GALNT15","117248",0.484498052376723,17.0075460613775,4.3195095043615e-54
"ENSG00000162383","SLC1A7","6512",0.646244809741802,16.9839236357953,5.74342518416822e-54
"ENSG00000087245","MMP2","4313",0.482346830711856,16.853962620879,2.89571677184717e-53
"ENSG00000074047","GLI2","2736",0.504590184235019,16.8538543492335,2.89571677184717e-53
"ENSG00000038427","VCAN","1462",0.574322886949182,16.834943702103,3.57747667706623e-53
"ENSG00000071967","CYBRD1","79901",0.769002989060584,16.8348891358551,3.57747667706623e-53
"ENSG00000106034","CPED1","79974",0.578265192911437,16.8232185578347,4.05526443804453e-53
"ENSG00000103647","CORO2B","10391",0.454949216098715,16.8227921974541,4.05526443804453e-53
"ENSG00000163430","FSTL1","11167",0.470420501524848,16.7845553320591,6.48236351718101e-53
"ENSG00000166428","PLD4","122618",0.586499692300547,16.7658950362158,8.09389118908492e-53
"ENSG00000164330","EBF1","1879",0.508842528304866,16.7616175114043,8.43129677298203e-53
"ENSG00000148848","ADAM12","8038",0.508510447230008,16.7282858855957,1.26659895255887e-52
"ENSG00000179639","FCER1A","2205",0.641839248153563,16.7217035013385,1.35861371884402e-52
"ENSG00000141338","ABCA8","10351",0.650285823082755,16.669984324298,2.5713753755908e-52
"ENSG00000187800","PEAR1","375033",0.504248271335078,16.6642653534312,2.72888688537641e-52
"ENSG00000198932","GPRASP1","9737",0.500644110183023,16.6595255636218,2.861035389373e-52
"ENSG00000262655","SPON1","10418",0.592949877063042,16.6373478996536,3.73457317053235e-52
"ENSG00000145362","ANK2","287",0.458792654203306,16.6202216652914,4.57520705517347e-52
"ENSG00000168542","COL3A1","1281",0.400389786382512,16.6092636311602,5.18786182640694e-52
"ENSG00000164949","GEM","2669",0.488154567701565,16.5679629853439,8.60608684845679e-52
"ENSG00000145423","SFRP2","6423",0.411575788407175,16.5634721032024,8.99958587242109e-52
"ENSG00000084636","COL16A1","1307",0.42729848534933,16.5615564314012,9.11344180612808e-52
"ENSG00000168497","SDPR","8436",0.709400458676785,16.5473064210038,1.07718813550146e-51
"ENSG00000151617","EDNRA","1909",0.415322815223257,16.4939211288127,2.07751374102321e-51
"ENSG00000047648","ARHGAP6","395",0.494676506846841,16.4922582475078,2.09784712338142e-51
"ENSG00000172935","MRGPRF","116535",0.416912321699074,16.4812700450853,2.38055186981583e-51
"ENSG00000133116","KL","9365",0.516215359771172,16.4606837407257,3.04566976762448e-51
"ENSG00000091656","ZFHX4","79776",0.522638774505256,16.4357453663399,4.11393925745935e-51
"ENSG00000279118","RP11-517I3.2",NA,0.442327651773212,16.3807052661565,8.08594889677167e-51
"ENSG00000230630","DNM3OS",NA,0.503802674992024,16.3706601316072,9.06834130134705e-51
"ENSG00000116194","ANGPTL1","9068",0.519366193660701,16.3253408656908,1.57759251360562e-50
"ENSG00000175063","UBE2C","11065",-0.380334618728296,-16.2142004148362,6.20616055269187e-50
"ENSG00000104213","PDGFRL","5157",0.43665020255605,16.1693765808811,1.07031730684784e-49
"ENSG00000139926","FRMD6","122786",0.46410470565641,16.1445297192865,1.44093822867195e-49
"ENSG00000082175","PGR","5241",1.02003460757169,16.1432837611684,1.44882353323706e-49
