"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","1/68","21/1876",0.0476190476190476,1.31372549019608,0.280313088348431,0.54139867332551,0.871757216450944,0.867844801362832,"107",1
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","1/68","21/1876",0.0476190476190476,1.31372549019608,0.280313088348431,0.54139867332551,0.871757216450944,0.867844801362832,"107",1
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","1/68","21/1876",0.0476190476190476,1.31372549019608,0.280313088348431,0.54139867332551,0.871757216450944,0.867844801362832,"3909",1
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","3/68","79/1876",0.0379746835443038,1.04765450483991,0.0839072229683621,0.553536651234321,0.871757216450944,0.867844801362832,"2264/9048/4915",3
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","1/68","22/1876",0.0454545454545455,1.25401069518717,0.23236159979814,0.558209934896326,0.871757216450944,0.867844801362832,"2099",1
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","2/68","51/1876",0.0392156862745098,1.08189158016148,0.114960537110499,0.559356633409865,0.871757216450944,0.867844801362832,"1828/3861",2
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","2/68","52/1876",0.0384615384615385,1.06108597285068,0.0866137074943343,0.570091801624368,0.871757216450944,0.867844801362832,"7869/658",2
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","1/68","23/1876",0.0434782608695652,1.19948849104859,0.186637940272731,0.574413669754498,0.871757216450944,0.867844801362832,"2678",1
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","1/68","23/1876",0.0434782608695652,1.19948849104859,0.186637940272731,0.574413669754498,0.871757216450944,0.867844801362832,"107",1
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","1/68","24/1876",0.0416666666666667,1.14950980392157,0.1429258161736,0.590031516735984,0.885047275103976,0.881075214709793,"3909",1
"Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","1/68","25/1876",0.04,1.10352941176471,0.10103839078868,0.605084355214361,0.885538359713869,0.881564095349588,"2891",1
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","4/68","118/1876",0.0338983050847458,0.935194416749751,-0.140993753128054,0.630446437388922,0.885538359713869,0.881564095349588,"658/1524/85480/27190",4
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","1/68","27/1876",0.037037037037037,1.02178649237473,0.0221083647091218,0.633574883504525,0.885538359713869,0.881564095349588,"107",1
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","2/68","60/1876",0.0333333333333333,0.919607843137255,-0.122712064591558,0.649257518876153,0.885538359713869,0.881564095349588,"2264/4915",2
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","1/68","29/1876",0.0344827586206897,0.95131845841785,-0.0512254465492396,0.660038076094828,0.885538359713869,0.881564095349588,"107",1
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","1/68","30/1876",0.0333333333333333,0.919607843137255,-0.086062575570923,0.672554270369626,0.885538359713869,0.881564095349588,"2264",1
"Organismal Systems","Immune system","hsa04611","Platelet activation","1/68","30/1876",0.0333333333333333,0.919607843137255,-0.086062575570923,0.672554270369626,0.885538359713869,0.881564095349588,"107",1
